N,P,K,temperature,humidity,ph,rainfall,soil_type
89.2,51.7,94.0,32.0,76.7,6.43,3107.1,Riverine Alluvial
35.3,17.2,72.6,30.1,79.9,5.57,2971.8,Laterite
65.9,36.4,58.3,32.6,72.2,5.41,2211.9,Red Loam
67.9,30.2,33.8,26.8,89.0,5.23,3400.0,Brown Hydromorphic
47.2,4.5,82.1,31.2,78.9,5.35,3600.4,Laterite
51.0,18.4,87.7,29.0,72.5,5.43,3751.2,Laterite
67.2,9.4,74.9,28.3,75.8,5.26,3092.8,Laterite
75.6,34.4,55.3,34.0,67.6,7.56,1052.9,Black Cotton
79.1,59.7,81.9,31.4,81.7,7.33,2717.2,Riverine Alluvial
101.0,30.2,52.7,32.3,59.9,7.84,1330.5,Black Cotton
77.9,41.9,57.5,33.9,57.2,7.29,1286.8,Black Cotton
147.8,44.2,111.6,21.9,80.3,5.89,3707.1,Forest Loam
46.4,45.6,51.5,35.0,85.1,4.85,3235.4,Brown Hydromorphic
145.9,25.2,37.9,33.2,88.7,3.99,3432.8,Peaty
45.0,28.6,49.7,37.8,52.0,7.15,1133.5,Sandy
74.0,51.2,74.8,36.7,67.4,7.85,1839.9,Black Cotton
91.8,55.3,71.5,28.3,82.9,6.58,3360.2,Riverine Alluvial
70.4,44.0,90.4,29.8,71.8,7.08,1652.3,Clayey
161.3,23.4,66.0,30.3,89.5,3.94,2539.3,Peaty
54.7,10.2,70.0,30.4,86.8,5.73,3273.3,Laterite
49.7,16.3,76.4,27.2,87.8,5.64,4099.6,Laterite
54.0,60.1,88.3,27.9,76.2,6.46,2347.1,Riverine Alluvial
75.7,46.2,55.7,38.1,67.5,7.21,1491.6,Black Cotton
71.2,40.4,98.6,25.6,81.4,7.44,1773.4,Clayey
81.6,66.7,81.0,28.6,79.9,6.01,2744.2,Riverine Alluvial
106.7,47.4,85.1,29.1,89.6,6.85,2826.8,Riverine Alluvial
102.1,48.3,119.0,25.8,74.6,6.67,2996.1,Riverine Alluvial
38.5,12.3,47.5,32.5,45.2,7.29,1423.9,Sandy
70.6,36.2,55.1,28.9,91.4,4.63,3327.8,Brown Hydromorphic
36.4,13.3,94.0,32.2,75.1,5.2,3811.9,Laterite
39.8,11.9,83.9,30.7,83.8,5.62,3463.7,Laterite
49.9,53.0,37.2,27.7,89.9,8.42,1667.9,Coastal Alluvial
32.8,38.3,38.8,29.7,91.6,8.11,1696.1,Coastal Alluvial
55.1,29.1,49.7,34.3,86.9,7.99,1625.9,Coastal Alluvial
83.1,63.1,69.3,28.5,78.0,7.04,3290.9,Riverine Alluvial
34.8,35.6,48.1,30.6,86.2,8.04,2308.0,Coastal Alluvial
61.7,46.7,69.6,30.7,52.8,8.7,1835.8,Black Cotton
97.1,39.4,35.1,32.6,89.3,4.72,3017.4,Brown Hydromorphic
99.0,21.5,80.7,28.1,72.8,6.32,1972.5,Red Loam
88.0,45.6,72.2,32.6,88.5,6.67,3067.0,Riverine Alluvial
60.8,44.1,79.7,28.6,94.8,4.92,3175.2,Brown Hydromorphic
78.3,30.8,75.9,28.1,74.6,6.03,2259.7,Red Loam
49.7,33.8,61.5,28.0,88.4,7.03,1490.8,Coastal Alluvial
134.8,51.5,106.6,22.9,79.8,6.23,3786.4,Forest Loam
120.9,39.2,54.0,17.0,83.3,6.08,3995.7,Forest Loam
89.4,48.0,96.5,31.8,79.1,7.32,2978.9,Riverine Alluvial
42.4,27.2,61.2,32.4,83.2,7.41,2032.7,Coastal Alluvial
81.8,60.9,82.5,25.9,74.1,7.57,2605.8,Clayey
90.6,57.3,111.4,26.2,78.0,7.01,2878.5,Riverine Alluvial
81.5,37.9,56.4,30.0,88.7,4.68,2957.0,Brown Hydromorphic
93.1,31.5,84.6,29.2,85.6,6.79,2759.1,Riverine Alluvial
67.6,18.0,48.3,27.2,85.8,4.98,3003.5,Brown Hydromorphic
68.6,32.5,47.9,33.4,80.6,6.35,2448.6,Red Loam
64.8,17.3,84.9,30.1,81.5,5.27,3784.7,Laterite
29.0,39.6,61.8,24.7,84.0,7.68,1633.8,Coastal Alluvial
50.0,15.7,51.5,31.8,75.7,4.88,3858.7,Laterite
78.5,33.9,84.3,29.0,77.8,6.33,2465.9,Red Loam
51.9,55.8,68.1,24.2,72.3,6.5,1907.3,Loamy
58.2,34.7,66.3,31.3,62.3,8.0,1073.9,Black Cotton
65.2,34.8,44.2,30.0,86.1,5.78,2773.3,Brown Hydromorphic
78.8,46.1,70.2,31.3,70.7,6.2,1555.2,Loamy
126.5,41.1,92.6,14.5,88.0,6.0,4251.5,Forest Loam
71.2,27.9,27.7,27.5,86.6,4.17,3571.6,Brown Hydromorphic
59.9,15.8,67.9,26.4,74.0,5.51,3789.2,Laterite
64.2,40.1,54.5,31.9,59.2,7.88,1712.1,Black Cotton
63.4,37.3,65.3,28.7,91.8,4.77,3565.9,Brown Hydromorphic
97.8,34.0,49.6,31.0,91.7,4.28,3691.6,Brown Hydromorphic
63.1,21.6,81.5,33.3,83.8,6.12,2830.3,Red Loam
28.5,30.9,79.6,29.8,81.5,8.0,2319.1,Coastal Alluvial
29.8,27.5,41.9,27.9,46.0,7.0,1546.8,Sandy
61.6,21.6,55.4,29.1,81.9,5.88,2455.8,Laterite
65.4,43.5,67.1,32.7,59.6,7.7,1317.7,Black Cotton
68.0,43.5,54.6,33.4,63.8,7.55,1360.8,Black Cotton
52.0,7.6,72.7,28.4,77.1,5.5,3293.6,Laterite
34.0,13.0,38.3,23.9,78.5,5.17,3159.7,Laterite
47.6,34.4,51.1,28.8,97.5,5.15,2927.0,Brown Hydromorphic
89.5,28.4,51.8,27.6,89.4,4.94,3323.2,Brown Hydromorphic
74.6,66.7,84.9,24.9,79.9,6.76,2969.8,Riverine Alluvial
98.4,44.2,79.8,27.4,81.6,6.66,2227.8,Riverine Alluvial
38.8,33.5,36.9,34.6,76.6,7.13,1767.6,Coastal Alluvial
45.6,24.2,39.3,38.8,61.5,6.61,1468.1,Sandy
58.9,18.3,66.8,28.0,79.5,5.94,3923.2,Laterite
62.3,31.2,60.8,26.9,90.1,4.99,3586.0,Brown Hydromorphic
70.2,41.6,68.0,29.0,59.4,7.49,1364.0,Black Cotton
101.5,51.3,85.8,27.1,73.5,6.65,2993.1,Riverine Alluvial
45.3,27.8,56.1,33.1,85.2,4.62,3294.3,Brown Hydromorphic
75.1,34.6,46.3,31.4,91.1,4.78,3697.1,Brown Hydromorphic
122.2,44.5,87.4,23.3,78.3,6.04,4739.4,Forest Loam
96.1,55.2,66.2,34.5,69.4,7.23,1269.5,Black Cotton
33.8,21.8,46.1,35.7,64.1,6.58,1561.6,Sandy
67.2,11.0,66.1,27.3,85.5,5.78,3562.2,Laterite
71.8,29.5,58.8,33.2,58.6,7.6,1854.0,Black Cotton
101.8,53.6,95.0,24.8,74.9,7.02,3377.0,Riverine Alluvial
33.2,17.1,75.2,32.2,81.4,5.1,3345.3,Laterite
47.8,12.9,90.9,26.1,78.3,5.06,3174.3,Laterite
74.3,29.7,99.8,35.3,88.4,6.39,2526.6,Red Loam
65.5,63.8,100.6,31.2,83.7,6.86,2998.1,Riverine Alluvial
43.6,27.2,34.6,35.5,91.9,7.6,1452.9,Coastal Alluvial
67.0,41.5,78.8,28.8,74.0,6.87,1633.2,Loamy
65.4,34.8,79.7,28.5,71.5,6.31,2564.4,Red Loam
46.8,46.3,69.1,29.2,60.6,7.38,1490.1,Black Cotton
65.2,39.2,84.1,23.8,68.1,6.62,2054.0,Loamy
69.7,27.3,101.5,31.5,73.3,6.21,2327.3,Red Loam
87.5,46.7,75.0,32.6,62.3,7.56,1445.8,Black Cotton
50.7,29.7,63.0,31.8,76.8,8.3,1877.8,Coastal Alluvial
42.7,39.4,53.3,33.9,84.5,7.32,2265.3,Coastal Alluvial
49.6,13.5,61.3,29.8,78.6,5.1,3533.0,Laterite
71.5,44.7,99.3,30.1,74.3,6.49,3414.3,Riverine Alluvial
135.9,31.8,36.8,29.2,91.0,4.18,2789.3,Peaty
63.6,26.9,65.4,29.6,82.9,5.83,2596.5,Red Loam
67.9,40.3,54.7,30.9,73.4,7.33,1599.9,Black Cotton
88.0,39.9,79.5,22.9,85.4,7.06,1990.6,Clayey
62.4,48.5,71.5,27.4,61.1,7.24,1302.5,Black Cotton
62.5,15.3,80.3,28.6,79.9,5.55,3371.0,Laterite
36.0,26.1,38.2,35.4,63.1,6.08,704.4,Sandy
50.3,51.9,48.7,29.8,93.7,7.57,2261.3,Coastal Alluvial
66.2,27.5,80.2,26.4,76.4,6.14,2475.2,Red Loam
32.8,24.6,42.5,38.5,54.6,6.46,1131.1,Sandy
113.7,46.9,87.3,19.4,84.3,5.74,4430.3,Forest Loam
61.3,38.8,77.2,26.7,80.7,7.02,1828.8,Clayey
66.1,30.7,71.0,33.2,89.2,4.58,3965.7,Brown Hydromorphic
89.9,26.5,96.1,30.5,77.0,6.64,2551.9,Red Loam
87.9,37.7,65.4,20.9,69.2,6.06,2239.3,Loamy
81.7,60.3,82.0,27.7,90.0,6.62,3171.1,Riverine Alluvial
54.6,19.9,75.0,29.3,77.6,6.08,2948.7,Laterite
79.8,44.2,60.2,28.8,81.5,7.4,2905.5,Riverine Alluvial
105.3,36.3,80.3,28.1,84.1,6.99,2807.0,Riverine Alluvial
59.2,26.9,60.8,30.7,75.8,5.5,2542.9,Red Loam
89.0,17.4,51.6,30.7,68.6,6.05,3029.6,Red Loam
87.0,29.8,65.1,26.0,90.0,5.22,2583.7,Brown Hydromorphic
49.1,19.0,98.1,27.7,83.6,5.49,2902.5,Laterite
38.6,21.9,19.8,34.2,62.6,7.0,1567.0,Sandy
130.1,37.6,98.5,18.5,84.9,5.72,3720.1,Forest Loam
64.7,26.8,110.9,33.4,81.9,6.09,2717.1,Red Loam
39.7,20.9,87.2,29.4,78.2,4.88,3295.9,Laterite
50.1,26.5,85.7,33.7,67.5,5.79,2767.2,Red Loam
65.8,22.9,81.8,25.3,74.6,6.43,3349.5,Red Loam
136.3,26.3,41.7,30.1,90.2,4.13,2996.4,Peaty
123.9,36.3,98.8,21.5,86.0,6.01,3086.4,Forest Loam
81.4,23.8,57.5,25.6,75.1,5.4,3117.8,Laterite
60.2,64.4,91.5,26.1,77.2,7.02,2093.3,Clayey
85.9,43.2,90.6,30.3,87.6,7.15,1939.8,Clayey
126.1,50.0,89.0,16.2,90.6,5.83,4348.9,Forest Loam
80.9,71.8,74.4,29.7,77.0,7.0,2822.8,Riverine Alluvial
65.4,36.3,79.2,29.1,71.8,5.94,2661.3,Red Loam
50.6,29.3,50.6,27.3,89.5,4.28,3143.4,Brown Hydromorphic
90.9,37.8,78.7,28.4,88.5,7.12,2722.4,Riverine Alluvial
61.3,45.4,71.3,32.4,68.6,7.52,1494.9,Black Cotton
76.1,45.0,77.5,35.1,56.5,7.58,1459.1,Black Cotton
48.9,22.4,88.5,30.8,76.1,6.19,2083.6,Red Loam
83.9,53.3,50.5,30.7,91.7,4.76,3002.3,Brown Hydromorphic
67.7,14.9,59.1,30.9,81.3,5.48,2670.9,Laterite
45.5,33.2,46.3,31.3,83.6,7.57,1912.8,Coastal Alluvial
32.9,44.0,54.6,30.6,85.6,7.68,2349.5,Coastal Alluvial
56.6,16.2,81.5,28.1,76.5,5.5,2784.3,Laterite
80.6,41.2,92.3,27.3,68.6,6.65,1907.3,Loamy
74.8,17.7,70.3,35.6,83.3,4.31,3052.1,Laterite
59.9,27.2,65.7,30.5,71.5,6.11,2209.3,Red Loam
63.2,33.0,60.3,28.7,79.7,8.23,1476.3,Coastal Alluvial
75.4,62.4,80.2,30.3,77.2,6.38,2833.8,Riverine Alluvial
94.2,46.5,62.0,27.2,91.8,4.99,3387.2,Brown Hydromorphic
49.8,16.2,72.0,32.0,81.9,4.57,3073.6,Laterite
27.0,13.7,60.8,28.1,79.6,5.46,3164.6,Laterite
59.6,13.6,96.5,26.4,72.0,5.39,2564.4,Laterite
84.9,50.8,74.0,18.5,81.6,5.18,3558.2,Forest Loam
134.8,22.7,35.0,27.3,90.0,4.31,3371.3,Peaty
89.7,49.8,82.0,28.9,74.8,7.37,2580.8,Riverine Alluvial
164.4,25.4,32.3,26.4,89.6,4.34,2624.4,Peaty
95.1,45.7,93.4,24.4,95.1,5.88,4792.5,Forest Loam
74.7,16.5,85.9,22.8,75.8,6.36,2625.3,Red Loam
144.3,49.5,95.8,23.3,79.5,6.54,3252.2,Forest Loam
59.0,45.9,104.3,27.3,73.2,6.55,1970.0,Loamy
142.5,36.6,56.8,31.9,92.4,4.34,3364.7,Peaty
68.8,29.7,112.2,30.1,87.6,5.85,2713.8,Red Loam
55.0,18.0,60.7,27.8,79.4,5.11,4082.9,Laterite
53.0,19.5,85.1,31.8,78.6,4.91,3935.1,Laterite
66.6,30.4,89.4,31.7,63.6,6.09,2785.9,Red Loam
68.9,27.9,46.1,24.5,94.8,4.27,3430.7,Brown Hydromorphic
66.8,17.7,68.2,31.0,75.5,6.21,2305.5,Red Loam
66.4,24.3,66.6,24.9,79.9,6.22,2353.9,Red Loam
54.1,20.8,53.3,30.8,87.0,7.91,2328.1,Coastal Alluvial
68.3,21.0,89.5,28.7,84.3,6.56,2939.6,Red Loam
23.2,39.0,85.3,26.4,87.8,8.26,2228.9,Coastal Alluvial
73.9,24.0,59.5,32.8,74.2,6.19,3147.7,Red Loam
46.5,16.5,71.5,34.0,92.3,5.43,3185.3,Laterite
75.5,22.7,98.7,31.7,89.2,5.86,2673.9,Red Loam
61.1,44.5,60.2,31.2,56.3,7.4,1664.9,Black Cotton
46.5,26.5,59.1,30.7,86.8,7.86,2238.3,Coastal Alluvial
106.6,49.9,91.6,27.8,83.6,6.23,2930.2,Riverine Alluvial
56.9,39.3,79.0,32.1,51.6,7.16,1656.2,Black Cotton
69.8,46.5,70.4,34.9,76.5,7.96,1366.7,Black Cotton
93.0,58.7,133.6,22.5,92.5,6.11,4154.4,Forest Loam
61.2,15.1,88.6,29.8,87.3,6.37,2304.4,Red Loam
48.6,17.1,69.7,24.7,73.9,5.13,3690.8,Laterite
52.3,28.6,83.9,31.8,80.9,6.19,2628.7,Red Loam
46.9,41.9,60.7,33.7,89.7,7.91,2034.1,Coastal Alluvial
144.5,37.3,41.6,30.0,92.2,4.69,2931.7,Peaty
69.1,29.7,71.2,32.2,79.0,6.44,3345.9,Red Loam
65.0,42.5,45.2,30.2,81.4,7.93,1535.9,Coastal Alluvial
56.9,17.3,55.6,30.0,90.4,5.47,2892.8,Laterite
123.0,24.9,32.5,29.0,96.9,4.6,2941.9,Peaty
95.0,44.9,81.2,31.1,90.4,6.34,2660.4,Riverine Alluvial
97.3,52.3,83.7,25.5,79.1,6.28,2898.4,Riverine Alluvial
30.0,34.0,72.7,33.1,90.0,7.52,1946.2,Coastal Alluvial
155.3,16.7,38.5,29.7,93.6,4.36,2990.6,Peaty
34.3,51.0,74.9,32.2,85.4,7.41,2009.7,Coastal Alluvial
61.4,22.1,65.4,28.9,71.4,6.27,2818.5,Red Loam
153.5,22.9,38.3,30.1,84.9,4.35,3092.0,Peaty
52.1,36.1,82.8,31.2,89.4,7.02,2447.1,Red Loam
64.4,61.8,92.7,27.9,78.9,6.49,3352.0,Riverine Alluvial
118.0,49.9,115.1,27.0,75.3,7.11,3195.5,Riverine Alluvial
62.8,47.1,65.2,33.1,78.5,6.53,2925.5,Riverine Alluvial
120.1,51.5,98.5,19.7,94.9,5.81,3746.0,Forest Loam
52.3,12.5,84.6,31.7,78.4,4.75,3668.9,Laterite
52.2,24.2,65.9,26.0,74.0,5.52,2939.2,Laterite
82.1,19.3,66.9,32.6,73.9,6.2,2469.5,Red Loam
92.7,49.9,98.3,27.7,81.4,6.18,2802.5,Riverine Alluvial
63.6,54.8,62.5,29.4,55.1,7.87,1457.0,Black Cotton
115.0,55.2,86.9,18.4,84.4,5.51,3668.6,Forest Loam
82.0,30.6,65.9,30.2,81.8,6.1,2132.0,Red Loam
110.6,52.3,107.4,22.0,84.8,5.86,4052.7,Forest Loam
124.8,24.3,35.0,26.0,90.3,4.34,2190.7,Peaty
35.0,13.3,62.5,27.4,78.5,5.13,3873.2,Laterite
63.6,20.6,68.0,26.4,80.7,5.47,3053.2,Red Loam
56.7,29.2,69.7,31.8,88.3,8.19,1561.6,Coastal Alluvial
45.6,36.9,67.4,31.5,55.0,7.91,1732.6,Black Cotton
86.7,49.5,84.0,30.8,77.8,6.38,2881.0,Riverine Alluvial
51.5,34.9,53.2,28.4,50.8,7.8,1287.4,Black Cotton
59.1,21.0,60.4,32.0,79.9,6.15,3295.5,Laterite
80.6,43.9,69.1,32.0,66.3,7.98,1303.4,Black Cotton
53.1,29.2,45.0,24.9,83.5,6.42,2920.5,Red Loam
101.2,49.9,108.9,20.1,83.8,5.92,4519.9,Forest Loam
34.9,42.2,61.4,30.2,78.4,7.8,2441.4,Coastal Alluvial
43.3,23.7,70.6,30.3,75.7,7.77,2148.1,Coastal Alluvial
68.4,44.6,61.7,33.4,82.1,7.81,1721.4,Coastal Alluvial
55.2,19.8,68.4,29.0,74.0,5.02,3268.3,Laterite
130.1,20.3,38.2,26.8,87.2,4.61,3258.0,Peaty
117.4,54.4,115.0,20.5,83.1,6.17,3549.9,Forest Loam
58.8,16.4,69.4,25.0,81.7,5.29,3188.4,Laterite
61.2,23.5,77.9,30.6,84.2,6.67,2772.4,Red Loam
72.0,25.4,84.1,27.2,74.9,6.08,2107.3,Red Loam
56.2,11.6,79.3,30.6,91.9,5.6,3733.7,Laterite
57.9,40.7,71.8,33.7,62.9,7.86,1444.5,Black Cotton
41.2,36.8,53.2,31.9,77.7,7.35,1677.0,Coastal Alluvial
55.5,33.3,36.5,29.4,89.8,4.32,2708.0,Brown Hydromorphic
98.2,49.6,91.4,20.8,83.9,5.76,3771.5,Forest Loam
58.3,40.6,43.6,32.1,83.1,7.64,2268.9,Coastal Alluvial
80.4,31.7,118.0,28.1,74.7,7.67,2334.6,Clayey
107.3,57.9,79.7,21.2,89.1,5.92,4068.6,Forest Loam
40.0,18.9,87.6,28.5,66.5,5.47,3974.3,Laterite
55.0,33.4,67.4,26.2,74.3,7.45,2414.2,Coastal Alluvial
140.1,19.8,32.3,31.8,96.3,4.52,3078.5,Peaty
70.7,33.6,47.6,27.8,97.4,4.53,3920.5,Brown Hydromorphic
58.1,21.6,86.3,32.3,72.5,5.72,2759.6,Red Loam
43.6,46.4,57.4,32.8,81.7,7.88,2195.9,Coastal Alluvial
80.1,45.4,45.9,26.0,64.7,8.35,1340.3,Black Cotton
139.0,41.1,79.0,20.0,93.5,5.76,4171.0,Forest Loam
112.2,38.6,78.2,28.3,73.3,6.66,2605.7,Riverine Alluvial
78.2,46.1,60.5,29.3,72.0,6.77,1935.5,Loamy
99.7,50.8,71.4,23.5,83.6,7.48,3058.2,Riverine Alluvial
123.1,54.1,97.9,22.6,74.8,6.82,4498.5,Forest Loam
108.3,16.7,43.5,31.9,92.8,4.36,2518.6,Peaty
33.7,15.9,28.4,35.6,55.1,6.46,1233.7,Sandy
64.8,63.2,76.2,26.7,79.6,6.54,2832.9,Riverine Alluvial
53.0,13.1,57.9,27.3,81.3,5.18,3980.8,Laterite
66.2,51.7,94.1,31.6,76.0,6.28,3259.6,Riverine Alluvial
38.5,9.5,78.7,29.8,80.6,5.01,3697.1,Laterite
45.6,16.2,78.6,24.5,90.2,5.3,3448.4,Laterite
118.0,42.6,97.8,28.4,79.9,7.16,2659.9,Riverine Alluvial
55.6,54.2,65.3,30.2,53.3,7.44,1242.6,Black Cotton
85.3,33.1,49.6,28.2,89.2,5.25,3269.5,Brown Hydromorphic
141.1,25.5,46.0,31.8,89.7,4.65,2854.2,Peaty
57.3,21.5,58.4,29.0,77.1,6.61,2167.2,Red Loam
63.9,23.3,95.6,27.7,74.9,5.64,3034.7,Red Loam
63.2,46.2,82.3,25.0,82.5,6.37,2974.9,Riverine Alluvial
54.3,55.7,64.6,24.3,71.1,7.51,2361.2,Clayey
120.4,36.9,39.7,31.3,95.6,4.51,3167.4,Peaty
47.3,23.4,106.9,27.3,86.1,6.05,2498.5,Red Loam
46.8,47.4,64.7,28.6,78.6,7.19,2305.1,Coastal Alluvial
44.5,28.4,60.7,36.1,82.6,7.93,2412.9,Coastal Alluvial
94.9,58.4,60.4,27.3,75.9,6.73,2455.3,Riverine Alluvial
38.3,32.7,27.6,31.1,92.7,7.89,1883.0,Coastal Alluvial
64.5,37.1,65.8,29.1,75.8,6.42,2597.1,Red Loam
123.7,50.1,59.4,19.8,88.2,6.26,4026.0,Forest Loam
52.2,18.3,79.8,29.6,83.0,5.02,3933.2,Laterite
81.9,26.0,38.1,27.0,86.8,4.44,3902.1,Brown Hydromorphic
75.7,28.2,122.4,26.4,78.0,5.26,3222.2,Forest Loam
155.6,28.1,42.3,31.0,94.4,3.68,3123.0,Peaty
55.7,19.3,57.5,24.7,79.7,4.97,3878.4,Laterite
100.8,49.7,66.7,32.1,83.0,6.62,3205.3,Riverine Alluvial
69.0,27.1,71.0,29.2,83.1,4.39,3123.5,Brown Hydromorphic
66.4,36.1,61.1,31.6,64.9,7.66,1429.0,Black Cotton
71.9,23.6,92.4,32.4,75.8,6.14,2499.4,Red Loam
62.2,37.2,66.8,32.3,85.7,6.35,1844.3,Red Loam
74.9,30.3,63.3,30.0,82.7,5.7,2245.3,Red Loam
88.3,46.2,57.7,25.3,69.5,6.82,1431.9,Loamy
81.1,27.5,56.6,25.4,81.1,5.83,1723.1,Red Loam
143.0,48.5,85.0,14.8,85.7,5.59,4099.7,Forest Loam
54.0,38.6,51.6,33.1,91.9,6.89,1917.7,Coastal Alluvial
89.9,24.1,97.2,26.1,74.2,5.43,2103.4,Red Loam
76.3,27.6,87.0,29.3,61.7,7.57,1012.7,Black Cotton
37.3,35.3,67.1,31.0,81.4,7.92,2004.8,Coastal Alluvial
36.2,10.3,108.4,30.8,82.2,4.42,3085.4,Laterite
51.5,47.4,33.4,29.3,84.7,7.57,1751.8,Coastal Alluvial
64.1,34.2,60.2,31.8,67.0,8.66,1101.4,Black Cotton
48.9,36.9,62.0,32.0,93.3,8.65,1454.6,Coastal Alluvial
140.2,27.7,48.1,30.0,90.5,4.46,2758.2,Peaty
38.5,9.3,50.7,27.9,68.0,6.48,924.2,Sandy
80.7,60.3,114.0,30.4,79.9,7.49,2429.6,Riverine Alluvial
98.3,38.3,88.8,29.6,72.2,7.02,1957.0,Clayey
135.4,30.7,43.8,35.4,86.1,4.42,2877.3,Peaty
59.2,4.5,87.5,26.0,88.0,5.43,3500.3,Laterite
98.1,43.8,102.7,22.3,88.0,5.78,3777.5,Forest Loam
60.3,43.5,64.7,31.9,89.5,7.61,1734.4,Coastal Alluvial
76.8,27.3,95.3,30.9,72.9,6.41,2344.9,Red Loam
101.3,54.5,109.3,29.3,74.1,6.67,3177.8,Riverine Alluvial
46.5,19.1,87.6,29.8,84.6,5.22,2834.5,Laterite
66.7,44.3,39.7,28.0,61.4,7.6,1817.4,Black Cotton
48.6,32.4,82.2,29.2,79.0,5.52,3034.2,Red Loam
73.4,52.9,82.4,29.3,80.8,6.74,2435.9,Clayey
56.9,24.3,87.7,34.4,79.2,6.06,2532.3,Red Loam
61.8,39.8,55.9,34.5,66.3,7.42,1448.1,Black Cotton
53.0,16.6,97.5,33.0,74.1,6.1,2290.7,Red Loam
54.9,33.1,54.8,29.7,83.6,4.43,3251.2,Brown Hydromorphic
120.9,50.4,86.1,21.1,86.3,6.15,3971.1,Forest Loam
90.5,49.1,90.5,28.7,80.9,6.36,3239.8,Riverine Alluvial
94.2,37.3,51.2,28.0,86.9,4.56,2665.6,Brown Hydromorphic
107.1,51.4,99.2,22.8,80.8,5.75,3404.2,Forest Loam
60.0,35.4,90.9,26.9,65.0,6.31,2399.4,Red Loam
46.2,41.5,61.8,31.8,87.5,8.02,2480.4,Coastal Alluvial
44.2,6.8,67.1,26.3,79.6,5.48,3440.8,Laterite
66.5,43.9,55.4,27.3,69.0,6.68,1805.7,Loamy
64.6,29.5,45.5,32.3,90.0,4.75,2823.3,Brown Hydromorphic
35.1,12.6,48.1,28.7,90.3,5.34,3525.4,Laterite
82.3,50.8,109.2,27.6,88.7,7.25,2445.3,Riverine Alluvial
56.2,9.1,74.1,27.7,79.9,5.27,3027.1,Laterite
76.2,33.4,76.6,32.8,72.7,5.69,2254.4,Red Loam
76.2,30.3,88.2,31.8,67.4,7.57,1077.1,Black Cotton
40.2,21.3,67.6,30.5,80.6,5.84,3051.4,Laterite
102.6,56.1,130.9,19.1,81.6,5.75,3921.0,Forest Loam
83.6,27.6,55.6,27.0,82.2,4.27,3490.8,Brown Hydromorphic
95.7,70.4,92.8,28.6,76.7,6.58,3196.6,Riverine Alluvial
43.0,27.1,76.0,31.6,80.0,6.59,2473.5,Red Loam
79.4,46.4,44.5,25.9,89.8,4.51,2995.9,Brown Hydromorphic
84.1,30.6,64.8,34.0,70.8,8.17,1552.6,Black Cotton
53.0,37.0,57.8,27.2,88.3,4.61,3480.1,Brown Hydromorphic
168.8,23.9,35.8,35.7,92.7,4.5,2907.6,Peaty
67.6,22.8,92.5,28.4,74.9,6.37,2573.7,Red Loam
100.0,50.9,74.4,28.6,82.3,7.06,2793.7,Riverine Alluvial
95.8,42.8,43.2,31.4,88.2,4.24,3640.6,Brown Hydromorphic
111.1,43.0,94.8,28.6,69.6,6.91,2654.6,Riverine Alluvial
97.2,36.9,93.5,30.6,80.8,7.28,2778.2,Riverine Alluvial
133.4,20.6,56.0,31.2,91.4,3.96,3351.9,Peaty
77.9,14.1,48.2,23.9,82.7,5.65,3030.2,Laterite
57.6,17.2,60.9,32.5,81.6,5.14,3185.0,Laterite
152.7,31.1,51.4,31.0,91.0,4.64,3281.2,Peaty
97.3,28.9,38.4,28.5,87.5,4.65,3662.9,Brown Hydromorphic
58.1,24.6,52.7,23.0,74.1,6.23,2729.8,Red Loam
62.7,4.5,63.6,32.3,84.8,5.27,3281.9,Laterite
75.0,21.4,58.8,35.8,77.4,6.26,2757.9,Red Loam
73.6,43.5,89.8,28.8,76.7,7.01,3091.2,Riverine Alluvial
50.7,15.2,81.0,28.5,78.8,5.31,3587.3,Laterite
60.0,37.9,91.2,30.0,79.6,5.31,3120.6,Red Loam
57.9,15.8,65.4,28.9,76.0,5.28,2830.9,Laterite
86.7,22.8,79.0,29.7,71.6,6.32,2785.1,Red Loam
99.8,50.0,77.6,26.3,75.0,6.44,1367.7,Loamy
55.5,24.9,82.1,26.0,73.8,6.6,2698.6,Red Loam
59.0,43.2,93.8,37.6,62.4,7.9,1325.7,Black Cotton
54.3,20.3,65.6,30.5,78.6,5.23,3646.7,Laterite
48.1,8.9,62.5,32.2,73.0,4.96,3057.4,Laterite
80.8,41.6,69.3,25.5,85.6,6.15,2996.3,Riverine Alluvial
61.4,13.7,78.5,33.4,76.3,5.41,3778.9,Laterite
32.5,37.7,69.7,30.0,80.9,7.62,2199.4,Coastal Alluvial
94.4,30.0,81.0,31.1,73.0,6.18,2286.0,Red Loam
47.8,14.4,56.1,30.8,66.5,5.68,2596.5,Laterite
50.0,37.2,48.6,24.9,85.3,4.8,2756.2,Brown Hydromorphic
89.0,48.7,93.2,28.5,79.0,6.8,2174.2,Riverine Alluvial
57.7,15.4,82.7,31.9,86.0,4.9,3050.6,Laterite
39.6,37.0,54.5,30.5,87.4,8.58,1753.2,Coastal Alluvial
80.8,9.7,101.3,30.6,84.9,5.04,3673.1,Laterite
73.0,32.2,94.3,25.9,82.2,6.09,3312.0,Red Loam
74.6,18.8,98.0,25.8,70.3,6.72,3193.0,Red Loam
89.3,29.1,57.9,28.7,87.4,4.72,2846.2,Brown Hydromorphic
32.7,34.1,59.7,28.7,87.3,7.27,1589.4,Coastal Alluvial
